的	[白勹丶Ⓨ,rqyy,de_dí_dì]
制	[𠂉冂丨刂,rmhj,zhì]
体	[亻木一Ⓖ,wsgg,tǐ_tī_bèn]
开	[一廾Ⓚ,gak,kāi_jiān_qiān]
业	[卝一Ⓓ,ogd,yè_qiū]
重	[㇒一曰土,tgjf,zhòng_chóng]
使	[亻一口乂,wgkq,shǐ]
天	[一大Ⓘ,gdi,tiān]
然	[夕犬灬Ⓤ,qdou,rán]
些	[止匕二Ⓕ,hxff,xiē_suò]
量	[曰一曰土,jgjf,liáng_liàng]
前	[丷冃刂Ⓙ,uejj,qián]
四	[四丨㇆一,lhng,sì]
那	[刀二阝Ⓗ,vfbh,nà_nǎ_nèi_nā_nè_nuó]
外	[夕卜Ⓨ,qhy,wài]
事	[一口彐㇚,gkvh,shì]
它	[宀匕Ⓑ,pxb,tā]
名	[夕口Ⓕ,qkf,míng]
合	[人一口Ⓕ,wgkf,hé_gě]
因	[囗大Ⓘ,ldi,yīn]
应	[广兴Ⓓ,yid,yīng_yìng]
由	[由丨㇆一,mhng,yóu]
其	[卄三八Ⓤ,adwu,qí_jī]
日	[日日日日,jjjj,rì]
性	[忄㇒𤯓Ⓖ,ntgg,xìng]
社	[礻土Ⓖ,pyfg,shè]
义	[丶乂Ⓘ,yqi,yì_chā]
全	[人王Ⓕ,wgf,quán]
样	[木丷羊Ⓗ,sudh,yàng_yáng]
政	[一止攵Ⓨ,ghty,zhèng]
表	[龶𧘇Ⓤ,geu,biǎo]
机	[木几Ⓝ,smn,jī_jǐ_wèi]
关	[丷大Ⓤ,udu,guān_xiào]
新	[立木斤Ⓗ,usrh,xīn]
平	[一丷丨Ⓚ,guhk,píng]
各	[夂口Ⓕ,tkf,gè_gě]
相	[木目Ⓖ,shg,xiāng_xiàng]
间	[门日Ⓓ,ujd,jiān_jiàn]
心	[心丶㇃丶,nyny,xīn]
正	[一止Ⓓ,ghd,zhèng_zhēng]
与	[一㇉一Ⓓ,gngd,yǔ_yù_yú]
西	[西一丨一,sghg,xī]
形	[一廾彡Ⓣ,gaet,xíng]
反	[斤又Ⓘ,rci,fǎn]
看	[龵目Ⓕ,rhf,kàn_kān]
明	[日月Ⓖ,jeg,míng]
又	[又又又又,cccc,yòu]
么	[丿厶Ⓤ,tcu,me_mó_ma_yāo]
内	[冂人Ⓘ,mwi,nèi_nà_ruì]
你	[亻冖小Ⓨ,wqiy,nǐ]
但	[亻日一Ⓖ,wjgg,dàn]
利	[禾刂Ⓗ,tjh,lì]
道	[丷㇒目辶,uthp,dào]
原	[厂白小Ⓘ,drii,yuán]
没	[氵几又Ⓨ,imcy,méi_mò_me]
第	[⺮弓丨丿,txht,dì]
比	[匕匕Ⓝ,xxn,bǐ_bì]
命	[人一口卩,wgkb,mìng]
数	[米女攵Ⓨ,ovty,shù_shǔ_shuò]
只	[口八Ⓤ,kwu,zhī_zhǐ]
线	[纟戋Ⓣ,xgt,xiàn]
向	[㇒冂口Ⓓ,tmkd,xiàng]
问	[门口Ⓓ,ukd,wèn]
意	[立曰心Ⓤ,ujnu,yì]
站	[立⺊口Ⓖ,uhkg,zhàn]
此	[止匕Ⓝ,hxn,cǐ]
或	[戈口㇒Ⓓ,akgd,huò]
条	[夂木Ⓤ,tsu,tiáo_tiāo]
无	[二儿Ⓥ,fqv,wú_mó]
公	[八厶Ⓤ,wcu,gōng]
质	[斤十贝Ⓘ,rfmi,zhì]
结	[纟士口Ⓖ,xfkg,jié_jiē]
解	[⺈用刀丨,qevh,jiě_jiè_xiè]
情	[忄龶冃Ⓖ,ngeg,qíng]
建	[彐二丨廴,vfhp,jiàn]
月	[月月月月,eeee,yuè]
想	[木目心Ⓤ,shnu,xiǎng]
很	[彳彐𧘇Ⓨ,tvey,hěn]
变	[亠亦又Ⓤ,yocu,biàn]
者	[土丿日Ⓕ,ftjf,zhě]
代	[亻戈Ⓨ,way,dài]
已	[已已已已,nnnn,yǐ]
立	[立立立立,uuuu,lì]
系	[㇒幺小Ⓤ,txiu,xì_jì]
军	[冖车Ⓙ,plj,jūn]
最	[曰耳又Ⓤ,jbcu,zuì]
并	[丷廾Ⓙ,uaj,bìng_bīng]
提	[扌曰一龰,rjgh,tí_dī_dǐ]
党	[⺌冖口儿,ipkq,dǎng]
题	[日一龰贝,jghm,tí]
气	[𠂉⺄Ⓑ,rnb,qì_qǐ]
五	[五一丨一,gghg,wǔ]
展	[尸龷𧘇Ⓘ,naei,zhǎn]
象	[⺈吅豕Ⓤ,qjeu,xiàng]
文	[文丶一㇏,yygy,wén]
通	[マ用辶Ⓚ,cepk,tōng_tòng]
总	[丷口心Ⓤ,uknu,zǒng]
果	[曰木Ⓘ,jsi,guǒ]
次	[冫冖人Ⓨ,uqwy,cì]
员	[口贝Ⓤ,kmu,yuán_yún_yùn]
革	[廿革Ⓙ,afj,gé_jí]
活	[氵㇒古Ⓖ,itdg,huó]
程	[禾口王Ⓖ,tkgg,chéng]
常	[⺌冖口丨,ipkh,cháng]
头	[⺀大Ⓘ,udi,tóu_tou]
位	[亻立Ⓖ,wug,wèi]
老	[土丿匕Ⓑ,ftxb,lǎo]
直	[十具Ⓕ,fhf,zhí]
入	[丿㇏Ⓘ,tyi,rù]
特	[㇒扌土寸,trff,tè]
品	[口口口Ⓕ,kkkf,pǐn]
件	[亻𠂉丨Ⓗ,wrhh,jiàn]
山	[山山山山,mmmm,shān]
见	[冂儿Ⓑ,mqb,jiàn_xiàn]
路	[口止夂口,khtk,lù]
求	[十氺丶Ⓘ,fiyi,qiú]
管	[⺮宀ココ,tpnn,guǎn]
及	[乃㇏Ⓘ,eyi,jí]
级	[纟乃㇏Ⓨ,xeyy,jí]
少	[小丿Ⓡ,itr,shǎo_shào]
基	[卄三八土,adwf,jī]
别	[口力刂Ⓗ,kljh,bié_biè]
设	[讠几又Ⓨ,ymcy,shè]
式	[戈工Ⓓ,aad,shì]
资	[冫冖人贝,uqwm,zī]
知	[𠂉大口Ⓖ,tdkg,zhī_zhì]
组	[纟冃一Ⓖ,xegg,zǔ]
几	[几丿㇈,mtn,jī_jǐ]
手	[手㇒一㇚,rtgh,shǒu]
论	[讠人匕Ⓝ,ywxn,lùn_lún]
统	[纟亠厶儿,xycq,tǒng]
接	[扌立女Ⓖ,ruvg,jiē]
农	[冖𧘇Ⓘ,pei,nóng]
被	[衤皮又,puhc,bèi_pī]
边	[力辶Ⓥ,lpv,biān]
指	[扌匕日Ⓖ,rxjg,zhǐ]
将	[丬夕寸Ⓨ,uqfy,jiāng_jiàng]
料	[米⺀十Ⓗ,oufh,liào]
九	[九丿㇈,vtn,jiǔ]
决	[冫ユ人Ⓨ,unwy,jué]
先	[㇒土儿Ⓑ,tfqb,xiān]
根	[木彐𧘇Ⓨ,svey,gēn]
期	[卄三八月,adwe,qī_jī_qí]
计	[讠十Ⓗ,yfh,jì]
强	[弓口虫Ⓨ,xkjy,qiáng_qiǎng_jiàng]
干	[干一一丨,fggh,gān_gàn]
战	[⺊口戈Ⓣ,hkat,zhàn]
回	[囗口Ⓓ,lkd,huí]
放	[方攵Ⓨ,yty,fàng]
她	[女也Ⓝ,vbn,tā_jiě]
给	[纟人一口,xwgk,gěi_jǐ]
任	[亻㇒士Ⓖ,wtfg,rèn_rén]
运	[二厶辶Ⓘ,fcpi,yùn_yǔn]
做	[亻古攵Ⓨ,wdty,zuò]
必	[心丿Ⓔ,nte,bì]
流	[氵亠厶,iycq,liú]
区	[匚ㄨⒾ,aqi,qū_ōu]
取	[耳又Ⓨ,bcy,qǔ]
门	[门丶丨𠃌,uyhn,mén]
处	[夂卜Ⓘ,thi,chǔ_chù]
据	[扌尸古Ⓖ,rndg,jù_jū]
南	[十冂丷十,fmuf,nán_nā]
则	[贝刂Ⓗ,mjh,zé]
队	[阝人Ⓨ,bwy,duì]
图	[囗夂⺀Ⓘ,ltui,tú]
北	[丬匕Ⓝ,uxn,běi_bèi]
百	[丆日Ⓕ,djf,bǎi]
光	[光儿Ⓑ,iqb,guāng]
治	[氵厶口Ⓖ,ickg,zhì]
东	[七小Ⓘ,aii,dōng]
保	[亻口木Ⓨ,wksy,bǎo]
志	[士心Ⓤ,fnu,zhì]
较	[车六乂Ⓨ,luqy,jiào]
领	[人丶マ贝,wycm,lǐng]
海	[氵𠂉母Ⓤ,itxu,hǎi]
口	[口口口口,kkkk,kǒu]
七	[七一乚,agn,qī]
导	[巳寸Ⓤ,nfu,dǎo]
调	[讠冂土口,ymfk,tiáo_diào_zhōu]
即	[彐厶卩Ⓗ,vcbh,jí]
什	[亻十Ⓗ,wfh,shí_shén_shé]
造	[㇒土口辶,tfkp,zào]
金	[金金金金,qqqq,jīn]
吃	[口𠂉乙Ⓝ,ktnn,chī_jí]
规	[二人冂儿,fwmq,guī]
争	[⺈彐㇚Ⓙ,qvhj,zhēng]
思	[田心Ⓤ,lnu,sī_sāi]
世	[廿㇗Ⓥ,anv,shì]
共	[龷八Ⓤ,awu,gòng_gōng]
六	[六丶一㇏,uygy,liù_lù]
认	[讠人Ⓨ,ywy,rèn]
交	[六乂Ⓤ,uqu,jiāo]
受	[爫冖又Ⓤ,epcu,shòu]
阶	[阝人〢Ⓗ,bwjh,jiē]
色	[⺈巴Ⓑ,qcb,sè_shǎi]
联	[耳丷大Ⓨ,budy,lián]
极	[木乃㇏Ⓨ,seyy,jí]
美	[丷王大Ⓤ,ugdu,měi]
济	[氵文〢Ⓗ,iyjh,jì_jǐ]
更	[一曰乂Ⓘ,gjqi,gēng_gèng]
打	[扌丁Ⓗ,rsh,dǎ_dá]
改	[已攵Ⓨ,nty,gǎi]
再	[一冂土Ⓓ,gmfd,zài]
增	[土丷罒曰,fulj,zēng]
收	[㇙丨攵Ⓨ,nhty,shōu]
清	[氵龶冃Ⓖ,igeg,qīng]
切	[七刀Ⓝ,avn,qiē_qiè]
真	[十具八Ⓤ,fhwu,zhēn]
教	[土丿孑攵,ftbt,jiào_jiāo]
场	[土𠄎〃Ⓣ,fnrt,cháng_chǎng]
权	[木又Ⓨ,scy,quán_shù]
安	[宀女Ⓕ,pvf,ān]
万	[丆𠃌Ⓥ,dnv,wàn_mò]
术	[木丶Ⓘ,syi,shù_shú_zhú]
证	[讠一止Ⓖ,yghg,zhèng]
身	[㇒冂三丿,tmdt,shēn]
务	[夂力Ⓑ,tlb,wù]
走	[土龰Ⓤ,fhu,zǒu]
带	[一〣冖丨,gkph,dài]
斗	[⺀十Ⓚ,ufk,dǒu_dòu]
角	[⺈用Ⓙ,qej,jiǎo_jué]
单	[丷曰十Ⓙ,ujfj,dān_shàn_chán]
花	[艹亻匕Ⓑ,awxb,huā]
目	[目目目目,hhhh,mù]
完	[宀二儿Ⓑ,pfqb,wán]
声	[士尸Ⓡ,fnr,shēng_qìng]
热	[扌九丶灬,rvyo,rè]
报	[扌卩又Ⓨ,rbcy,bào]
八	[八丿㇏,wty,bā]
白	[白白白白,rrrr,bái]
才	[十丿Ⓔ,fte,cái]
具	[具八Ⓤ,hwu,jù]
至	[一厶土Ⓕ,gcff,zhì]
张	[弓㇒七㇏,xtay,zhāng]
马	[马㇆㇉一,cnng,mǎ]
每	[𠂉母一Ⓤ,txgu,měi]
话	[讠㇒古Ⓖ,ytdg,huà]
达	[大辶Ⓘ,dpi,dá_tà_tì]
转	[车二ㄣ丶,lfny,zhuǎn_zhuàn_zhuǎi]
议	[讠丶乂Ⓨ,yyqy,yì]
科	[禾⺀十Ⓗ,tufh,kē]
器	[口口犬口,kkdk,qì]
示	[二小Ⓤ,fiu,shì]
确	[石⺈用Ⓗ,dqeh,què]
许	[讠𠂉十Ⓗ,ytfh,xǔ_hǔ]
今	[人丶㇇Ⓑ,wynb,jīn]
例	[亻一夕刂,wgqj,lì]
集	[亻圭木Ⓤ,wysu,jí]
信	[亻言Ⓖ,wyg,xìn_shēn]
记	[讠己Ⓝ,ynn,jì]
积	[禾口八Ⓨ,tkwy,jī_zhǐ]
群	[彐丿口羊,vtkd,qún]
步	[止少Ⓡ,hir,bù]
整	[一口小止,gkih,zhěng]
广	[广丶一丿,yygt,guǎng_ān_yǎn]
风	[冂ㄨⒾ,mqi,fēng_fěng]
传	[亻二ㄣ丶,wfny,chuán_zhuàn]
界	[田人〢Ⓙ,lwjj,jiè]
华	[亻匕十Ⓙ,wxfj,huá_huà_huā]
且	[冃一Ⓓ,egd,qiě_jū]
元	[二儿Ⓑ,fqb,yuán]
离	[文凵冂厶,ybmc,lí_chī]
压	[厂土丶Ⓘ,dfyi,yā_yà]
研	[石一廾Ⓗ,dgah,yán_yàn]
究	[宀八九Ⓑ,pwvb,jiū]
况	[冫口儿Ⓝ,ukqn,kuàng]
书	[㇆𠃌丨丶,nnhy,shū]
拉	[扌立Ⓖ,rug,lā_lá]
类	[米大Ⓤ,odu,lèi]
节	[艹ㄗⒿ,abj,jié_jiē]
采	[爫木Ⓤ,esu,cǎi_cài]
观	[又冂儿Ⓝ,cmqn,guān_guàn]
越	[土龰匸丿,fhat,yuè]
众	[人人人Ⓤ,wwwu,zhòng_yín]
持	[扌土寸Ⓨ,rffy,chí]
叫	[口㇙丨Ⓗ,knhh,jiào]
油	[氵由Ⓖ,img,yóu]
速	[一口小辶,gkip,sù]
织	[纟口八Ⓨ,xkwy,zhī_zhì]
林	[木木Ⓨ,ssy,lín]
段	[亻三几又,wdmc,duàn]
难	[又亻圭Ⓖ,cwyg,nán_nàn_nuó]
需	[⻗丆冂Ⓙ,fdmj,xū]
非	[三〢三Ⓓ,djdd,fēi]
复	[𠂉曰夂Ⓤ,tjtu,fù]
儿	[儿丿乚,qtn,ér_rén]
律	[彳彐二丨,tvfh,lǜ]
布	[𠂇冂丨Ⓙ,dmhj,bù]
际	[阝二小Ⓨ,bfiy,jì]
连	[车辶Ⓚ,lpk,lián]
算	[⺮目廾Ⓙ,thaj,suàn]
深	[氵冖八木,ipws,shēn]
容	[宀八人口,pwwk,róng]
千	[㇒十Ⓚ,tfk,qiān]
近	[斤辶Ⓚ,rpk,jìn]
周	[冂土口Ⓓ,mfkd,zhōu]
影	[曰亠小彡,jyie,yǐng]
断	[米㇗斤Ⓗ,onrh,duàn]
己	[己㇆一乚,nngn,jǐ]
办	[力八Ⓘ,lwi,bàn]
须	[彡丆贝Ⓨ,edmy,xū]
商	[六冂八口,umwk,shāng]
石	[石一丿一,dgtg,shí_dàn]
青	[龶冃Ⓕ,gef,qīng]
米	[米丶㇒㇏,oyty,mǐ]
便	[亻一曰乂,wgjq,biàn_pián]
感	[厂一口心,dgkn,gǎn]
省	[小丿目Ⓕ,ithf,shěng_xǐng]
支	[十又Ⓤ,fcu,zhī]
何	[亻丁口Ⓖ,wskg,hé_hē_hè]
团	[囗十丿Ⓔ,lfte,tuán_qiú]
验	[马人一兴,cwgi,yàn]
半	[丷十Ⓚ,ufk,bàn]
往	[彳丶王Ⓖ,tygg,wǎng]
约	[纟勹丶Ⓨ,xqyy,yuē_yāo]
太	[大丶Ⓘ,dyi,tài]
克	[古儿Ⓑ,dqb,kè]
劳	[艹冖力Ⓑ,aplb,láo]
历	[厂力Ⓥ,dlv,lì]
备	[夂田Ⓕ,tlf,bèi_yuán]
列	[一夕刂Ⓗ,gqjh,liè]
低	[亻氏弋丶,wqay,dī]
委	[禾女Ⓕ,tvf,wěi_wēi]
市	[亠冂丨Ⓙ,ymhj,shì]
史	[口乂Ⓘ,kqi,shǐ]
响	[口㇒冂口,ktmk,xiǎng]
准	[冫亻圭Ⓖ,uwyg,zhǔn]
精	[米龶冃Ⓖ,ogeg,jīng]
习	[𠃌冫Ⓓ,nud,xí]
消	[氵⺌冃Ⓖ,iieg,xiāo]
写	[冖一㇉一,pgng,xiě]
候	[亻丨ユ大,whnd,hòu]
土	[土土土土,ffff,tǔ]
称	[禾冖小Ⓨ,tqiy,chēng_chèn_chèng]
技	[扌十又Ⓨ,rfcy,jì]
空	[宀八工Ⓕ,pwaf,kōng_kòng_kǒng]
府	[广亻寸Ⓘ,ywfi,fǔ]
亲	[立木Ⓤ,usu,qīn_qìng_qīng_xīn_zhēn]
毛	[㇒二乚Ⓥ,tfnv,máo]
温	[氵曰皿Ⓖ,ijlg,wēn_yùn]
率	[亠幺氺十,yxif,shuài_lǜ]
院	[阝宀二儿,bpfq,yuàn]
划	[戈刂Ⓗ,ajh,huá_huà_huai_guò_guǒ]
装	[丬士亠𧘇,ufye,zhuāng]
存	[𠂇丨子Ⓓ,dhbd,cún]
眼	[目彐𧘇Ⓨ,hvey,yǎn]
快	[忄ユ人Ⓨ,nnwy,kuài]
标	[木二小Ⓨ,sfiy,biāo]
值	[亻十具Ⓖ,wfhg,zhí]
族	[方𠂉𠂉大,yttd,zú]
王	[王王王王,gggg,wáng_wàng]
查	[木曰一Ⓕ,sjgf,chá_zhā]
江	[氵工Ⓖ,iag,jiāng]
斯	[卄三八斤,adwr,sī]
素	[龶幺小Ⓤ,gxiu,sù]
却	[土厶卩Ⓗ,fcbh,què]
除	[阝人禾Ⓨ,bwty,chú]
号	[口一㇉Ⓑ,kgnb,hào_háo_xiāo]
住	[亻丶王Ⓖ,wygg,zhù]
格	[木夂口Ⓖ,stkg,gé]
参	[厶大彡Ⓡ,cder,cān_shēn_cēn_sān]
满	[氵艹一人,iagw,mǎn]
始	[女厶口Ⓖ,vckg,shǐ]
般	[㇒舟几又,temc,bān_bō_pán]
包	[勹巳Ⓥ,qnv,bāo]
识	[讠口八Ⓨ,ykwy,shí_zhì]
专	[二ㄣ丶Ⓘ,fnyi,zhuān]
京	[亠小Ⓤ,yiu,jīng]
照	[日刀口灬,jvko,zhào]
车	[车一𠃊丨,lgnh,chē_jū]
按	[扌宀女Ⓖ,rpvg,àn]
选	[㇒土儿辶,tfqp,xuǎn]
火	[火火火火,oooo,huǒ]
易	[曰勹〃Ⓡ,jqrr,yì]
厂	[厂一丿,dgt,chǎng_ān_hàn_hǎn]
听	[口斤Ⓗ,krh,tīng_yí_yǐn]
该	[讠亠𠃊人,yynw,gāi]
红	[纟工Ⓖ,xag,hóng_gōng]
属	[尸㇒口丶,ntky,shǔ_zhǔ]
维	[纟亻圭Ⓖ,xwyg,wéi]
县	[冃一厶Ⓤ,egcu,xiàn_xuán]
严	[一卝厂Ⓡ,godr,yán]
派	[氵斤𧘇Ⓨ,irey,pài_pā]
局	[尸𠃌口Ⓓ,nnkd,jú]
讲	[讠二〢Ⓗ,yfjh,jiǎng]
呢	[口尸匕Ⓝ,knxn,ne_ní_nī]
继	[纟米㇗Ⓝ,xonn,jì]
首	[丷㇒目Ⓕ,uthf,shǒu]
片	[丿丨一㇆,thgn,piàn_piān]
构	[木勹厶Ⓨ,sqcy,gòu_gǒu]
女	[女女女女,vvvv,nǚ_rǔ]
德	[彳十罒心,tfln,dé]
死	[一夕匕Ⓑ,gqxb,sǐ]
效	[六ㄨ攵Ⓨ,uqty,xiào]
谈	[讠火火Ⓨ,yooy,tán]
失	[𠂉人Ⓘ,rwi,shī]
神	[礻曰丨,pyjh,shén]
望	[亠㇙月王,yneg,wàng]
价	[亻人〢Ⓗ,wwjh,jià_jiè_jie]
铁	[钅𠂉人Ⓨ,qrwy,tiě]
酸	[西一厶夂,sgct,suān]
底	[广氏弋丶,yqay,dǐ_de]
黄	[龷由八Ⓤ,amwu,huáng]
随	[阝𠂇冃辶,bdep,suí]
苏	[艹力八Ⓤ,alwu,sū_sù]
引	[弓丨Ⓗ,xhh,yǐn]
推	[扌亻圭Ⓖ,rwyg,tuī]
艺	[艹乙Ⓑ,anb,yì]
尔	[冖小Ⓤ,qiu,ěr]
官	[宀コ丨コ,pnhn,guān]
适	[㇒古辶Ⓓ,tdpd,shì_kuò]
批	[扌匕匕Ⓝ,rxxn,pī]
英	[艹冂大Ⓤ,amdu,yīng]
告	[㇒土口Ⓕ,tfkf,gào]
席	[广廿冂丨,yamh,xí]
举	[兴八二丨,iwfh,jǔ]
李	[木子Ⓕ,sbf,lǐ]
师	[リ一冂丨,jgmh,shī]
势	[扌九丶力,rvyl,shì]
细	[纟田Ⓖ,xlg,xì]
帮	[三丿阝丨,dtbh,bāng]
显	[曰卝一Ⓕ,jogf,xiǎn]
项	[工丆贝Ⓨ,admy,xiàng]
状	[丬犬Ⓨ,udy,zhuàng]
字	[宀子Ⓕ,pbf,zì]
育	[亠厶冃Ⓕ,ycef,yù_yō]
层	[尸二厶Ⓘ,nfci,céng]
破	[石皮又Ⓨ,dhcy,pò]
落	[艹氵夂口,aitk,là_luò_lào]
怎	[𠂉丨二心,thfn,zěn_zě]
营	[艹冖口口,apkk,yíng]
远	[二儿辶Ⓥ,fqpv,yuǎn_yuàn]
士	[士一丨一,fghg,shì]
台	[厶口Ⓕ,ckf,tái_tāi_sì_yí]
企	[人止Ⓕ,whf,qǐ_qì]
爱	[爫冖𠂇又,epdc,ài]
言	[言言言言,yyyy,yán]
河	[氵丁口Ⓖ,iskg,hé]
配	[西一己Ⓝ,sgnn,pèi]
围	[囗二𠃌丨,lfnh,wéi]
型	[一廾刂土,gajf,xíng]
服	[月卩又Ⓨ,ebcy,fú_fù]
朝	[十早月Ⓖ,fjeg,zhāo_cháo]
轻	[车ス工Ⓖ,lcag,qīng]
紧	[〢又幺小,jcxi,jǐn]
武	[一戈止Ⓓ,gahd,wǔ]
仅	[亻又Ⓨ,wcy,jǐn_jìn_fù_nú]
另	[口力Ⓑ,klb,lìng]
章	[立早Ⓙ,ujj,zhāng]
亚	[一卝一Ⓓ,gogd,yà]
视	[礻冂儿,pymq,shì]
封	[土土寸Ⓨ,fffy,fēng]
密	[宀心丿山,pntm,mì]
注	[氵丶王Ⓖ,iygg,zhù]
材	[木十丿Ⓣ,sftt,cái]
案	[宀女木Ⓤ,pvsu,àn]
供	[亻龷八Ⓨ,wawy,gōng_gòng]
止	[止丨丨一,hhhg,zhǐ]
木	[木木木木,ssss,mù]
续	[纟十乛大,xfnd,xù]
早	[早丨㇆丨,jhnh,zǎo]
防	[阝方Ⓝ,byn,fáng]
护	[扌丶尸Ⓣ,rynt,hù]
判	[丷𠂇刂Ⓗ,udjh,pàn]
态	[大丶心Ⓤ,dynu,tài]
司	[𠃌一口Ⓓ,ngkd,sī]
固	[囗古Ⓓ,ldd,gù]
似	[亻㇙丶人,wnyw,sì_shì]
罪	[罒三〢三,ldjd,zuì]
黑	[罒土灬Ⓤ,lfou,hēi]
充	[亠厶儿Ⓑ,ycqb,chōng]
兴	[兴八Ⓤ,iwu,xīng_xìng]
某	[卄二木Ⓤ,afsu,mǒu]
树	[木又寸Ⓨ,scfy,shù]
击	[二山Ⓚ,fmk,jī]
致	[一厶土攵,gcft,zhì]
圆	[囗口贝Ⓘ,lkmi,yuán]
液	[氵亠亻丶,iywy,yè_yì]
音	[立曰Ⓕ,ujf,yīn]
坚	[〢又土Ⓕ,jcff,jiān]
足	[口龰Ⓤ,khu,zú]
负	[⺈贝Ⓤ,qmu,fù]
害	[宀三丨口,pdhk,hài]
含	[人丶㇇口,wynk,hán]
